"","ID","BIOCHEMICAL","CHEMICAL.ID","COMP.ID","PLATFORM","RI","MASS","CAS","KEGG","HMDB","PUBCHEM","CHEMSPIDER","PATHWAY.SORTORDER","SUPER.PATHWAY","SUB.PATHWAY"
"M.40045","M.40045","leucylglycine",100003185,40045,"LC/MS Pos;LC/MS Pos Early",1805,189.1234,"686-50-0",NA,"HMDB28929","79070",71402,201,"Peptide","Dipeptide"
"M.40026","M.40026","leucylphenylalanine",100003189,40026,"LC/MS Pos",3354,279.1703,"424904",NA,NA,"259325",227629,202,"Peptide","Dipeptide"
"M.42969","M.42969","leucylthreonine",100003191,42969,"LC/MS Pos",1635,233.1496,NA,NA,"HMDB28939","10353878",16568334,203,"Peptide","Dipeptide"
"M.40030","M.40030","leucyltyrosine",100003193,40030,"LC/MS Neg",2885,293.1507,"968-21-8",NA,"HMDB28941","273262",240420,204,"Peptide","Dipeptide"
"M.40056","M.40056","lysylisoleucine",100003195,40056,"LC/MS Pos",1484,260.1969,"20556-13-2",NA,"HMDB28954",NA,16568341,205,"Peptide","Dipeptide"
"M.40020","M.40020","lysylleucine",100003196,40020,"LC/MS Pos;LC/MS Pos Early",1561,260.1969,"7369-79-1",NA,"HMDB28955","4682588",3870665,206,"Peptide","Dipeptide"
"M.42099","M.42099","lysylvaline",100003559,42099,"LC/MS Pos",1020,246.1812,"20556-11-0",NA,"HMDB28964","140709",124103,207,"Peptide","Dipeptide"
"M.40685","M.40685","methionylalanine",100003651,40685,"LC/MS Pos",1519,221.0954,"3061-96-9",NA,NA,NA,14625127,208,"Peptide","Dipeptide"
"M.40677","M.40677","methionylvaline",100003667,40677,"LC/MS Neg",2671,247.1122,"14486-13-6",NA,NA,"7010520",10439221,209,"Peptide","Dipeptide"
"M.41374","M.41374","phenylalanylalanine",100003589,41374,"LC/MS Pos;LC/MS Neg",2120,237.1234,"3918-87-4",NA,NA,"5488196",4589716,210,"Peptide","Dipeptide"
"M.41419","M.41419","phenylalanylaspartate",100003595,41419,"LC/MS Pos",1920,281.1132,"22828-05-3",NA,NA,"335051",296912,212,"Peptide","Dipeptide"
"M.41432","M.41432","phenylalanylglutamate",100003596,41432,"LC/MS Pos",2045,295.1289,"3617-45-6",NA,NA,"4422358",3622675,213,"Peptide","Dipeptide"
"M.41370","M.41370","phenylalanylglycine",100003588,41370,"LC/MS Pos;LC/MS Pos Early",2155,223.1077,"721-90-4",NA,"HMDB28995","98207",88678,214,"Peptide","Dipeptide"
"M.40069","M.40069","phenylalanylisoleucine",100003199,40069,"LC/MS Neg",4145,277.1558,"22951-94-6",NA,"HMDB28998","7010566",16568357,215,"Peptide","Dipeptide"
"M.41436","M.41436","phenylalanylmethionine",100003591,41436,"LC/MS Pos",2885,297.1267,"15080-84-9",NA,NA,"7010506",10441391,217,"Peptide","Dipeptide"
"M.41392","M.41392","phenylalanylproline",100003592,41392,"LC/MS Pos",2900,263.139,"7669-65-0",NA,NA,"4069131",3284305,219,"Peptide","Dipeptide"
"M.40017","M.40017","phenylalanylserine",100003252,40017,"LC/MS Pos",1815,253.1183,"16053-39-7",NA,NA,"9859812",8035511,220,"Peptide","Dipeptide"
"M.47231","M.47231","phenylalanylthreonine",NA,47231,"LC/MS Neg",2711,265.1195,NA,NA,NA,NA,NA,221,"Peptide","Dipeptide"
"M.41393","M.41393","phenylalanylvaline",100003590,41393,"LC/MS Pos",2624,265.1547,"3918-90-9",NA,"HMDB29008","4096934",3311095,223,"Peptide","Dipeptide"
"M.47228","M.47228","phenylalanyllysine",NA,47228,"LC/MS Neg",2526,292.1669,NA,NA,NA,NA,NA,224,"Peptide","Dipeptide"
"M.41381","M.41381","prolylglutamate",100003673,41381,"LC/MS Pos",980,245.1132,"67644-00-2",NA,NA,"3563697",2801159,225,"Peptide","Dipeptide"
"M.40703","M.40703","prolylglycine",100003674,40703,"LC/MS Pos;LC/MS Pos Early",875,173.0921,"2578-57-6",NA,"HMDB11178","6426709",4932143,226,"Peptide","Dipeptide"
"M.40066","M.40066","serylleucine",100003202,40066,"LC/MS Pos",2109,219.1339,"6665-16-3",NA,"HMDB29043","7015695",10438627,227,"Peptide","Dipeptide"
"M.40054","M.40054","serylphenyalanine",100003253,40054,"LC/MS Pos",2351,253.1183,"16875-28-8",NA,"HMDB29046",NA,14732161,228,"Peptide","Dipeptide"
"M.42055","M.42055","serylproline",100003524,42055,"LC/MS Neg",985,201.0881,"23827-93-2",NA,"HMDB29047","4369021",11613252,229,"Peptide","Dipeptide"
"M.42077","M.42077","seryltyrosine",100003525,42077,"LC/MS Neg;LC/MS Pos",1436,267.0986,"21435-27-8",NA,"HMDB29051","4575735",3768506,230,"Peptide","Dipeptide"
"M.42058","M.42058","serylvaline",100003522,42058,"LC/MS Pos",1514,205.1183,"51782-06-0",NA,"HMDB29052","7020159",16568384,231,"Peptide","Dipeptide"
"M.42067","M.42067","threonylglutamate",100003538,42067,"LC/MS Pos",835,249.1081,"54532-73-9",NA,NA,NA,14860404,232,"Peptide","Dipeptide"
"M.42972","M.42972","threonylisoleucine",100003203,42972,"LC/MS Pos",2135,233.1496,NA,NA,NA,NA,16568391,233,"Peptide","Dipeptide"
"M.40051","M.40051","threonylleucine",100003204,40051,"LC/MS Pos",2205,233.1496,"50299-12-2",NA,NA,"4420322",3620711,234,"Peptide","Dipeptide"
"M.31530","M.31530","threonylphenylalanine",100001125,31530,"LC/MS Pos;LC/MS Neg",2452,267.1339,"16875-27-7",NA,"HMDB29068","4099799",3313819,235,"Peptide","Dipeptide"
"M.42005","M.42005","threonylproline",100003536,42005,"LC/MS Pos",1468,217.1183,"281670-51-7",NA,NA,NA,16568394,236,"Peptide","Dipeptide"
"M.40661","M.40661","tryptophylasparagine",100003620,40661,"LC/MS Pos",1965,319.1401,"175027-11-9",NA,"HMDB29078","18218248",16568398,237,"Peptide","Dipeptide"
"M.41401","M.41401","tryptophylglutamate",100003619,41401,"LC/MS Pos",2260,334.1398,"36099-95-3",NA,"HMDB29082","3634442",2868834,238,"Peptide","Dipeptide"
"M.43028","M.43028","tryptophylglycine",100003609,43028,"LC/MS Pos",2364,262.1186,"7360-09-0",NA,"HMDB29083","263471",231453,239,"Peptide","Dipeptide"
"M.41399","M.41399","tryptophylphenylalanine",100003615,41399,"LC/MS Pos",3555,352.1656,"1748091",NA,NA,"4427709",3627800,240,"Peptide","Dipeptide"
"M.40018","M.40018","tyrosylalanine",100003254,40018,"LC/MS Pos",1598,253.1183,"730-08-5",NA,NA,"5496455",4593326,241,"Peptide","Dipeptide"
"M.42953","M.42953","tyrosylglutamate",100003251,42953,"LC/MS Pos",1561,311.1238,NA,NA,NA,"7009628",14526366,242,"Peptide","Dipeptide"
"M.41459","M.41459","tyrosylglutamine",100003606,41459,"LC/MS Pos",1460,310.1398,"28252-40-6",NA,NA,NA,14129234,243,"Peptide","Dipeptide"
"M.41375","M.41375","tyrosylglycine",100003598,41375,"LC/MS Pos",1605,239.1026,"673-05-5",NA,"HMDB29105","259323",227627,244,"Peptide","Dipeptide"
"M.41464","M.41464","tyrosylhistidine",100003607,41464,"LC/MS Pos",971,319.1401,"3788-44-1",NA,NA,NA,16568403,245,"Peptide","Dipeptide"
"M.40075","M.40075","tyrosylisoleucine",100003207,40075,"LC/MS Pos",2540,295.1652,"40829-32-1",NA,"HMDB29108","7019110",14526371,246,"Peptide","Dipeptide"
"M.40031","M.40031","tyrosylleucine",100003208,40031,"LC/MS Pos",2690,295.1652,"17355-10-1",NA,NA,"87071",78540,247,"Peptide","Dipeptide"
"M.40656","M.40656","tyrosyllysine",100003608,40656,"LC/MS Pos",910,155.5917,"54925-88-1",NA,NA,NA,14361332,248,"Peptide","Dipeptide"
"M.41492","M.41492","tyrosylphenylalanine",100003601,41492,"LC/MS Pos",2920,329.1496,"17355-11-2",NA,NA,"3421919",2665517,249,"Peptide","Dipeptide"
"M.40667","M.40667","tyrosyltyrosine",100003604,40667,"LC/MS Pos",2180,345.1445,"1050-28-8",NA,NA,"5057430",4234749,250,"Peptide","Dipeptide"
"M.41424","M.41424","tyrosylvaline",100003599,41424,"LC/MS Pos",2082,281.1496,"17355-09-8",NA,NA,"7009560",5373139,251,"Peptide","Dipeptide"
"M.41518","M.41518","valylalanine",100003636,41518,"LC/MS Pos",1275.3,189.1234,"27493-61-4",NA,"HMDB29120","334517",296432,252,"Peptide","Dipeptide"
"M.42072","M.42072","valylarginine",100003637,42072,"LC/MS Pos",835,274.1874,"37682-75-0",NA,NA,"4266827",3474098,253,"Peptide","Dipeptide"
"M.40475","M.40475","valylglycine",100003641,40475,"LC/MS Pos;LC/MS Neg",1372,175.1077,"686-43-1",NA,"HMDB29127","136487",120256,254,"Peptide","Dipeptide"
"M.40680","M.40680","valylhistidine",100003642,40680,"LC/MS Neg",1670,253.1306,"13589-07-6",NA,"HMDB29129",NA,16568411,255,"Peptide","Dipeptide"
"M.40688","M.40688","valylphenylalanine",100003645,40688,"LC/MS Pos",2819,265.1547,"3918-92-1",NA,NA,"6993120",5361223,257,"Peptide","Dipeptide"
"M.40716","M.40716","valylserine",100003647,40716,"LC/MS Pos",979,205.1183,"15388-94-8",NA,"HMDB29136","139506",123028,258,"Peptide","Dipeptide"
"M.44543","M.44543","valylthreonine",100004584,44543,"LC/MS Neg;LC/MS Pos",1682,217.1194,"72636-02-3",NA,"HMDB29137","4046492",3262538,259,"Peptide","Dipeptide"
"M.40649","M.40649","valyltryptophan",100003648,40649,"LC/MS Pos",2855,304.1656,"24587-37-9",NA,"HMDB29138","3360287",2606221,260,"Peptide","Dipeptide"
"M.40728","M.40728","valylvaline",100003650,40728,"LC/MS Pos",1856,217.1547,"3918-94-3",NA,NA,"409682",362559,261,"Peptide","Dipeptide"
"M.47360","M.47360","tyrosylserine",NA,47360,"LC/MS Neg",1563,267.0988,NA,NA,NA,NA,NA,262,"Peptide","Dipeptide"
"M.22154","M.22154","bradykinin",100000967,22154,"LC/MS Pos",2996.8,530.788,"58-82-2","C00306","HMDB04246","439201",388341,263,"Peptide","Polypeptide"
"M.31538","M.31538","XHWESASXXR*",100001326,31538,"LC/MS Pos",3413.1,606.3302,NA,NA,NA,NA,21403114,266,"Peptide","Polypeptide"
"M.46651","M.46651","Fibrinopeptide A (5-16)*",NA,46651,"LC/MS Pos",3222,603.7925,NA,NA,NA,NA,NA,270,"Peptide","Fibrinogen Cleavage Peptide"
"M.47843","M.47843","phenylacetylglutamate",NA,47843,"LC/MS Pos",3213,266.1018,NA,NA,NA,NA,NA,272,"Peptide","Acetylated Peptides"
"M.47216","M.47216","pyroglutamylarginine*",NA,47216,"LC/MS Neg",1307,284.1367,NA,NA,NA,NA,NA,275,"Peptide","Modified Peptides"
"M.31522","M.31522","pyroglutamylglycine",100001127,31522,"LC/MS Neg;LC/MS Pos",828.2,185.0568,"29227-88-1",NA,NA,"152981",134831,277,"Peptide","Modified Peptides"
"M.47226","M.47226","pyroglutamylisoleucine*",NA,47226,"LC/MS Neg",2211,241.1196,NA,NA,NA,NA,NA,278,"Peptide","Modified Peptides"
"M.47495","M.47495","pyroglutamylisoleucine",NA,47495,"LC/MS Pos",3105,243.1337,NA,NA,NA,NA,NA,279,"Peptide","Modified Peptides"
"M.47225","M.47225","pyroglutamylleucine*",NA,47225,"LC/MS Neg",2273,241.1196,NA,NA,NA,NA,NA,280,"Peptide","Modified Peptides"
"M.47220","M.47220","pyroglutamylmethionine*",NA,47220,"LC/MS Neg",1795,259.0759,NA,NA,NA,NA,NA,281,"Peptide","Modified Peptides"
"M.47219","M.47219","pyroglutamyltyrosine*",NA,47219,"LC/MS Neg",1717,291.099,NA,NA,NA,NA,NA,282,"Peptide","Modified Peptides"
"M.32394","M.32394","pyroglutamylvaline",100001132,32394,"LC/MS Neg",1755,227.1037,"21282-10-0",NA,NA,"152416",134331,283,"Peptide","Modified Peptides"
"M.38075","M.38075","arabitol",100000012,38075,"GC/MS",1687.5,307.1,"7643-75-6","C01904","HMDB00568","94154",84971,296,"Carbohydrate","Pentose Metabolism"
"M.15821","M.15821","fucose",918,15821,"GC/MS",1682.2,204,"2438-80-4","C01018","HMDB00174","19466",2299091,297,"Carbohydrate","Pentose Metabolism"
"M.15910","M.15910","maltotetraose",100000275,15910,"LC/MS Neg",910,665.2146,"34612-38-9","C02052","HMDB01296","446495",393830,298,"Carbohydrate","Glycogen Metabolism"
"M.27723","M.27723","maltotriose",100000276,27723,"GC/MS",2368.3,361.2,"1109-28-0","C01835","HMDB01262","439586",388669,299,"Carbohydrate","Glycogen Metabolism"
"M.563","M.563","sorbose",220,563,"GC/MS",1800.9,437.1,"87-79-6","C00247","HMDB01266","441484",390208,301,"Carbohydrate","Fructose, Mannose and Galactose Metabolism"
"M.15443","M.15443","glucuronate",100000257,15443,"LC/MS Neg;LC/MS Polar",639,193.0354,"207300-70-7","C00191","HMDB00127","444791",58552,305,"Carbohydrate","Aminosugar Metabolism"
"M.1592","M.1592","N-acetylneuraminate",1162,1592,"GC/MS",2074.9,245,"131-48-6","C00270","HMDB00230","439197",10292217,306,"Carbohydrate","Aminosugar Metabolism"
"M.35482","M.35482","2-methylmalonylcarnitine (C4-DC)",100001596,35482,"LC/MS Pos",1552.7,262.1285,"149181-64-6",NA,"HMDB13133","53481628",21403178,315,"Lipid","Fatty Acid Synthesis"
"M.1552","M.1552","erucate (22:1n9)",1087,1552,"LC/MS Neg",6355.6,337.3112,"112-86-7","C08316","HMDB02068","5281116",7924,337,"Lipid","Long Chain Fatty Acid"
"M.41820","M.41820","nervonate (24:1n9)",100001231,41820,"GC/MS",2201,423.4,"506-37-6","C08323","HMDB02368","5281120",4444565,338,"Lipid","Long Chain Fatty Acid"
"M.15730","M.15730","suberate (C8-DC)",100000016,15730,"LC/MS Neg;LC/MS Polar",804.3,173.0819,"505-48-6","C08278","HMDB00893","10457",10025,356,"Lipid","Fatty Acid, Dicarboxylate"
"M.32398","M.32398","sebacate (C10-DC)",100001211,32398,"LC/MS Neg",1788,201.1132,"111-20-6","C08277","HMDB00792","5192",5004,357,"Lipid","Fatty Acid, Dicarboxylate"
"M.11984","M.11984","margarate, methyl ester",350,11984,"GC/MS",1898.6,86.9,"1731-92-6",NA,NA,"15609",14849,373,"Lipid","Fatty Acid, Methyl Ester"
"M.32455","M.32455","linoleamide (18:2n6)",1492,32455,"LC/MS Neg",6205,278.2489,"766652",NA,NA,"6435901",4940587,375,"Lipid","Fatty Acid, Amide"
"M.31932","M.31932","propionylglycine",100001150,31932,"LC/MS Neg;LC/MS Pos",960,130.051,"21709-90-0",NA,"HMDB00783","98681",89122,381,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)"
"M.43502","M.43502","N-octanoylglycine",100003940,43502,"LC/MS Neg",4335.4,200.1292,"14246-53-8",NA,"HMDB00832","84290",76040,383,"Lipid","Fatty Acid Metabolism (Acyl Glycine)"
"M.32462","M.32462","N-linoleoylglycine",1506,32462,"LC/MS Neg",5510,336.2544,"315636",NA,NA,"6433346",4938516,385,"Lipid","Fatty Acid Metabolism (Acyl Glycine)"
"M.47727","M.47727","3-hydroxyhexanoylcarnitine (1)",NA,47727,"LC/MS Pos",2237,276.1801,NA,NA,NA,NA,NA,397,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.47725","M.47725","suberoylcarnitine",NA,47725,"LC/MS Pos",2667,318.1905,NA,NA,NA,NA,NA,403,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.47805","M.47805","pimeloylcarnitine",NA,47805,"LC/MS Pos",2232,304.175,NA,NA,NA,NA,NA,404,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.47849","M.47849","3-methyladipoylcarnitine",NA,47849,"LC/MS Pos",2270,304.1749,NA,NA,NA,NA,NA,405,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.47594","M.47594","linoleoylcholine*",NA,47594,"LC/MS Pos",5200,366.3357,NA,NA,NA,NA,NA,410,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.47641","M.47641","stearoylcholine*",NA,47641,"LC/MS Pos",5229,370.3675,NA,NA,NA,NA,NA,411,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.47072","M.47072","3-hydroxyhexanoic acid",NA,47072,"LC/MS Neg",1740,131.0713,NA,NA,NA,NA,NA,418,"Lipid","Fatty Acid, Monohydroxy"
"M.31943","M.31943","3-hydroxysebacate",100001145,31943,"LC/MS Neg",1282,217.1081,"73141-46-5",NA,"HMDB00350","3017884",2285525,421,"Lipid","Fatty Acid, Monohydroxy"
"M.46391","M.46391","3-hydroxylaurate",NA,46391,"LC/MS Neg",5179,215.1655,NA,NA,NA,NA,NA,422,"Lipid","Fatty Acid, Monohydroxy"
"M.38395","M.38395","12,13-DiHOME",62,38395,"LC/MS Neg",5137,313.2384,"263399-35-5","C14829","HMDB04705","10236635",8412123,426,"Lipid","Fatty Acid, Dihydroxy"
"M.38399","M.38399","9,10-DiHOME",179,38399,"LC/MS Neg",5180,313.2384,"263399-34-4","C14828","HMDB04704","9966640",8142232,427,"Lipid","Fatty Acid, Dihydroxy"
"M.37530","M.37530","leukotriene B4",399,37530,"LC/MS Neg",5186,335.2228,"71160-24-2","C02165","HMDB01085","5280492",4472397,428,"Lipid","Eicosanoid"
"M.37372","M.37372","5-HETE",100002137,37372,"LC/MS Neg",5382,319.2279,"73307-52-5","C04805","HMDB11134","5280733",8038582,429,"Lipid","Eicosanoid"
"M.46342","M.46342","leukotriene B5",100002813,46342,"LC/MS Neg",5075,333.2071,"88763-92-9",NA,"HMDB05073","5283125",4446249,430,"Lipid","Eicosanoid"
"M.39730","M.39730","N-stearoyltaurine",100003240,39730,"LC/MS Neg",5782,390.2684,"63155-80-6",NA,NA,"168274",147194,434,"Lipid","Endocannabinoid"
"M.37112","M.37112","chiro-inositol",100001859,37112,"GC/MS;LC/MS Polar",1857,318.1,"643-12-9","C19891","HMDB34220",NA,10254647,436,"Lipid","Inositol Metabolism"
"M.32379","M.32379","scyllo-inositol",100001215,32379,"GC/MS",1893.8,318.2,"488-59-5","C06153","HMDB06088","892",10254646,437,"Lipid","Inositol Metabolism"
"M.34396","M.34396","choline phosphate",267,34396,"LC/MS Pos;LC/MS Pos Early",692.5,184.0733,"72556-74-2","C00588","HMDB01565","1014",119298,440,"Lipid","Phospholipid Metabolism"
"M.40406","M.40406","trimethylamine N-oxide",100003397,40406,"LC/MS Pos;LC/MS Pos Early",718,151.1441,"1184-78-7","C01104","HMDB00925","1145",1113,443,"Lipid","Phospholipid Metabolism"
"M.36812","M.36812","1-oleoyl-GPA (18:1)",100001671,36812,"LC/MS Neg",5615,435.2517,"325465-93-8",NA,NA,"5497152",4593722,444,"Lipid","Lysophospholipid"
"M.44683","M.44683","2-margaroyl-GPC (17:0)*",100001564,44683,"LC/MS Pos",5685,510.3554,NA,NA,NA,NA,21403167,454,"Lipid","Lysophospholipid"
"M.37419","M.37419","1-margaroyl-GPE (17:0)*",100002171,37419,"LC/MS Neg",6218,466.2939,NA,NA,NA,NA,NA,478,"Lipid","Lysophospholipid"
"M.36600","M.36600","1-linoleoyl-GPE (18:2)*",100001570,36600,"LC/MS Pos;LC/MS Pos Late",5574,478.2928,NA,NA,"HMDB11507","52925130",21403170,483,"Lipid","Lysophospholipid"
"M.34656","M.34656","2-arachidonoyl-GPE (20:4)*",100001674,34656,"LC/MS Pos",5525,502.2928,NA,NA,"HMDB11487",NA,NA,487,"Lipid","Lysophospholipid"
"M.45966","M.45966","1-stearoyl-GPS (18:0)*",100004327,45966,"LC/MS Neg",5800,524.2994,NA,NA,NA,"9547101",7826051,491,"Lipid","Lysophospholipid"
"M.34437","M.34437","1-stearoyl-GPG (18:0)",100001462,34437,"LC/MS Neg",5816,511.3041,NA,NA,NA,NA,21403138,493,"Lipid","Lysophospholipid"
"M.39223","M.39223","2-stearoyl-GPI (18:0)*",100003008,39223,"LC/MS Neg",5728,599.3202,NA,NA,NA,NA,NA,497,"Lipid","Lysophospholipid"
"M.35625","M.35625","1-myristoylglycerol (14:0)",100001618,35625,"LC/MS Neg",6353.3,227.2016,"75685-84-6","C01885","HMDB11561","79050",71382,505,"Lipid","Monoacylglycerol"
"M.34393","M.34393","1-linolenoylglycerol (18:3)",100001435,34393,"LC/MS Neg",6214,277.2173,"124151-74-2",NA,"HMDB11569","53480978",21403134,509,"Lipid","Monoacylglycerol"
"M.34397","M.34397","1-arachidonylglycerol (20:4)",100001433,34397,"LC/MS Pos;LC/MS Neg",5663.5,396.3108,"35474-99-8","C13857","HMDB11549","5282281",4445452,510,"Lipid","Monoacylglycerol"
"M.35153","M.35153","1-docosahexaenoylglycerol (22:6)",100001481,35153,"LC/MS Neg",6150,309.2224,NA,NA,"HMDB11587",NA,10477810,511,"Lipid","Monoacylglycerol"
"M.34383","M.34383","2-myristoylglycerol (14:0)",100001408,34383,"LC/MS Neg",6230,227.2016,"27214-38-6",NA,"HMDB11530","137938",121585,512,"Lipid","Monoacylglycerol"
"M.32506","M.32506","2-linoleoylglycerol (18:2)",100000987,32506,"LC/MS Neg",6250,279.2329,"3443-82-1",NA,"HMDB11538","5365676",4517636,514,"Lipid","Monoacylglycerol"
"M.39864","M.39864","lathosterol",100001105,39864,"GC/MS",2337,255.2,"80-99-9;80-99-9","C01189","HMDB01170","65728",59151,520,"Lipid","Sterol"
"M.35692","M.35692","7-alpha-hydroxycholesterol",100001602,35692,"GC/MS",2300,456.2,"566-26-7","C03594","HMDB01496","107722",96891,522,"Lipid","Sterol"
"M.35092","M.35092","7-beta-hydroxycholesterol",100001095,35092,"GC/MS",2340,456.4,"566-27-8",NA,"HMDB06119","473141",415508,523,"Lipid","Sterol"
"M.36803","M.36803","3beta,7alpha-dihydroxy-5-cholestenoate",100001611,36803,"LC/MS Pos;LC/MS Neg",5445,397.3101,"115538-84-6","C17335",NA,"3081084",2338764,525,"Lipid","Sterol"
"M.27414","M.27414","beta-sitosterol",100001033,27414,"GC/MS;LC/MS Pos Late",2380.8,357.4,"83-46-5","C01753","HMDB00852","222284",192962,526,"Lipid","Sterol"
"M.39511","M.39511","campesterol",100001269,39511,"GC/MS",2353,343.4,"474-62-4","C01789","HMDB02869","173183",151215,527,"Lipid","Sterol"
"M.37174","M.37174","21-hydroxypregnenolone monosulfate (1)",100002003,37174,"LC/MS Neg",4624,411.1847,"88378-34-1",NA,NA,"174681",152343,529,"Lipid","Pregnenolone Steroids"
"M.39779","M.39779","11-dehydrocorticosterone",100002781,39779,"LC/MS Pos",4533.8,345.206,"72-23-1",NA,NA,NA,NA,538,"Lipid","Corticosteroids"
"M.39378","M.39378","tauroursodeoxycholate",100002912,39378,"LC/MS Neg",5025,498.2895,"14605-22-2",NA,"HMDB00874","9848818",24539842,575,"Lipid","Secondary Bile Acid Metabolism"
"M.34093","M.34093","hyocholate",100001279,34093,"LC/MS Neg",5046,407.2803,"547-75-1","C17649","HMDB00760","92805",21403098,576,"Lipid","Secondary Bile Acid Metabolism"
"M.43507","M.43507","3b-hydroxy-5-cholenoic acid",100004182,43507,"LC/MS Neg",5205,373.2748,"5255-17-4",NA,"HMDB00308","92997",83950,580,"Lipid","Secondary Bile Acid Metabolism"
"M.46979","M.46979","N1-methylinosine",NA,46979,"LC/MS Neg",1895,149.0474,NA,NA,NA,NA,NA,587,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.554","M.554","adenine",880,554,"LC/MS Pos;LC/MS Pos Early",1002,136.0618,"73-24-5","C00147","HMDB00034","190",185,593,"Nucleotide","Purine Metabolism, Adenine containing"
"M.37114","M.37114","N6-methyladenosine",213,37114,"LC/MS Neg",2593,148.0629,"1867-73-8",NA,"HMDB04044","1869",92307,595,"Nucleotide","Purine Metabolism, Adenine containing"
"M.36811","M.36811","2'-O-methylguanosine",100001713,36811,"LC/MS Pos",1943,298.1146,"2140-71-8","C04545",NA,NA,NA,600,"Nucleotide","Purine Metabolism, Guanine containing"
"M.35133","M.35133","N2-methylguanosine",100001467,35133,"LC/MS Pos",1960,298.1146,"2140-77-4",NA,"HMDB05862","3035422",2299669,602,"Nucleotide","Purine Metabolism, Guanine containing"
"M.1412","M.1412","2'-deoxyuridine",536,1412,"LC/MS Neg",1586,111.02,"951-78-0","C00526","HMDB00012","13712",13118,611,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.35838","M.35838","beta-alanine",244,35838,"GC/MS",1582.3,334.1,"56-41-7;107-95-9","C00099","HMDB00056","239",234,613,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.33013","M.33013","nicotinamide riboside",100001310,33013,"LC/MS Pos",930,255.0976,"1341-23-7","C03150","HMDB00855","439924",NA,619,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism"
"M.5278","M.5278","nicotinamide adenine dinucleotide (NAD+)",1310,5278,"LC/MS Neg",1434,662.1018,"53-84-9","C00003","HMDB00902","5893",5681,620,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism"
"M.27665","M.27665","1-methylnicotinamide",55,27665,"LC/MS Pos;LC/MS Pos Early",691.3,137.0709,"1005-24-9","C02918","HMDB00699","10129985",8305504,621,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism"
"M.1640","M.1640","ascorbate (Vitamin C)",233,1640,"GC/MS",1850.1,332.1,"134-03-2","C00072","HMDB00044",NA,10189562,627,"Cofactors and Vitamins","Ascorbate and Aldarate Metabolism"
"M.35702","M.35702","beta-tocopherol",100001641,35702,"GC/MS",2260,488.3,"148-03-8","C14152","HMDB06335","6857447",5256784,631,"Cofactors and Vitamins","Tocopherol Metabolism"
"M.33420","M.33420","gamma-tocopherol",100001308,33420,"GC/MS",2264,488.4,"54-28-4","C02483","HMDB01492","14986",14266,632,"Cofactors and Vitamins","Tocopherol Metabolism"
"M.47576","M.47576","gamma-CEHC sulfate*",NA,47576,"LC/MS Neg",2902,343.0859,NA,NA,NA,NA,NA,635,"Cofactors and Vitamins","Tocopherol Metabolism"
"M.47886","M.47886","bilirubin (E,Z or Z,E)*",100001951,47886,"LC/MS Pos;LC/MS Pos Late",4991,585.2708,NA,NA,"HMDB00488","5799469",4705847,639,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism"
"M.46164","M.46164","3-methyl catechol sulfate (2)",100004110,46164,"LC/MS Neg",2860,203.002,NA,NA,NA,NA,NA,652,"Xenobiotics","Benzoate Metabolism"
"M.35635","M.35635","3-(3-hydroxyphenyl)propionate",100001624,35635,"LC/MS Neg",1980,165.0557,"621-54-5","C11457","HMDB00375","91",89,665,"Xenobiotics","Benzoate Metabolism"
"M.39587","M.39587","3-(4-hydroxyphenyl)propionate",100002914,39587,"LC/MS Neg",1670,165.0557,"501-97-3","C01744","HMDB02199","10394",9965,666,"Xenobiotics","Benzoate Metabolism"
"M.34399","M.34399","3,7-dimethylurate",100001398,34399,"LC/MS Neg",1418.2,195.0524,"13087-49-5","C16360","HMDB01982","83126",74994,676,"Xenobiotics","Xanthine Metabolism"
"M.34389","M.34389","1-methylxanthine",100001405,34389,"LC/MS Pos;LC/MS Neg",2004.6,167.0564,"6136-37-4","C16358","HMDB10738","80220",72464,678,"Xenobiotics","Xanthine Metabolism"
"M.32445","M.32445","3-methylxanthine",100001108,32445,"LC/MS Pos;LC/MS Neg",1911.6,167.0564,"1076-22-8","C16357","HMDB01886","70639",63805,679,"Xenobiotics","Xanthine Metabolism"
"M.38662","M.38662","cotinine N-oxide",100002719,38662,"LC/MS Pos",1758,193.0972,"36508-80-2",NA,"HMDB01411","9815514",7991264,684,"Xenobiotics","Tobacco Metabolite"
